actionAcceptedList0;actionAcceptedList1;actionAcceptedList2;actionAcceptedList3;[step];averageWaitingAction1;averageWaitingAction2;averageWaitingAction3;totalwaitingtime
1;123;12;13;487;5,318471337579618;13,35;14;10,889490445859872
12;13;123;13;485;5,82;10,35;16,5;10,89
12;13;13;2;486;6,598591549295775;9,96551724137931;16,11111111111111;10,891739967262064
12;12;123;13;494;6,619718309859155;10,724137931034482;15,333333333333334;10,892396524742324
2;13;12;123;487;7,033783783783784;12,310344827586206;13,333333333333334;10,892487314901109
123;13;13;12;492;5,124183006535947;9,555555555555555;18;10,893246187363834
3;12;13;123;485;7,013513513513513;11,166666666666666;14,5;10,893393393393394
123;123;23;13;487;6,368421052631579;12,31578947368421;14;10,894736842105262
123;12;12;23;486;6,049295774647887;12,242424242424242;14,4;10,89724000569071
123;23;13;123;496;6,140939597315437;13,551724137931034;13;10,89755457841549
13;12;13;2;493;6,9520547945205475;11,08;14,666666666666666;10,899573820395737
123;123;23;1;486;7,539007092198582;12,914285714285715;12,25;10,901097602161434
123;12;123;123;489;6,0814814814814815;11,78125;14,846153846153847;10,902961775878444
1;123;2;13;485;6,30718954248366;11,238095238095237;15,166666666666666;10,90398381574852
13;123;23;1;486;6,2465753424657535;15,068965517241379;11,4;10,905180286569044
123;123;123;1;487;5,4;9,92;17,4;10,906666666666666
13;123;23;13;486;6,298611111111111;10,433333333333334;16;10,910648148148148
13;12;23;12;485;7,506849315068493;11,392857142857142;13,833333333333334;10,91101326375299
12;2;123;13;487;6,559440559440559;9,466666666666667;16,714285714285715;10,913464313464312
12;13;12;3;486;7,048611111111111;13,030303030303031;12,666666666666666;10,915193602693604
123;1;13;12;487;5,871621621621622;13,625;13,25;10,91554054054054
12;123;13;13;487;5,098684210526316;9,80952380952381;17,857142857142858;10,921783625730995
13;23;12;13;492;5,582191780821918;11,185185185185185;16;10,922458988669035
23;123;12;12;485;6,86986301369863;10,9;15;10,923287671232877
13;12;123;23;486;6,453333333333333;12,318181818181818;14;10,923838383838385
23;12;13;123;485;6,3907284768211925;12,583333333333334;13,8;10,924687270051509
13;23;12;1;485;6,3618421052631575;12,916666666666666;13,5;10,926169590643275
1;123;12;123;490;4,870967741935484;10,916666666666666;17;10,929211469534051
1;2;123;13;487;6,618705035971223;11,181818181818182;15;10,933507739263135
12;13;12;23;485;5,705479452054795;12,73076923076923;14,375;10,937082894274676
13;12;2;23;485;13,765822784810126;9,555555555555555;9,5;10,94045944678856
123;123;2;1;485;6,576158940397351;10;16,25;10,94205298013245
123;2;123;13;487;6,643356643356643;10,852941176470589;15,333333333333334;10,943210384386857
12;1;123;123;487;5,324675324675325;9,85;17,666666666666668;10,947113997113997
123;23;12;12;486;6,699300699300699;10,423076923076923;15,727272727272727;10,94988344988345
23;12;13;123;486;5,904761904761905;10,448275862068966;16,5;10,951012588943625
23;13;13;123;486;6,452229299363057;10,235294117647058;16,166666666666668;10,951396694558929
123;12;2;13;486;7,466666666666667;10,891891891891891;14,5;10,952852852852851
123;3;123;13;487;7,596026490066225;11,666666666666666;13,6;10,954231052244296
2;123;123;123;498;6,314102564102564;9,55;17;10,954700854700855
12;123;1;123;486;5,727891156462585;11,153846153846153;16;10,960579103436245
2;13;123;12;487;6,616883116883117;11,272727272727273;15;10,963203463203463
123;123;1;1;486;5,2898550724637685;12,6;15;10,963285024154588
12;23;123;13;486;6,264705882352941;11,636363636363637;15;10,967023172905527
13;23;1;12;493;5,805369127516778;11,347826086956522;15,75;10,967731738157767
123;1;23;1;489;6,066666666666666;12,84;14;10,96888888888889
123;12;23;123;487;7,070921985815603;11,838709677419354;14;10,96987722107832
123;13;2;1;486;6,067164179104478;11,128205128205128;15,714285714285714;10,96988500719844
13;123;123;3;486;7,096774193548387;12,571428571428571;13,25;10,972734254992318
123;13;123;13;486;6,489795918367347;10,428571428571429;16;10,97278911564626
1;23;123;13;485;6,836734693877551;10,653846153846153;15,428571428571429;10,973050758765046
13;13;2;123;485;6,615384615384615;10,9;15,428571428571429;10,981318681318681
123;12;23;13;487;6,772413793103448;12,444444444444445;13,75;10,988952745849298
123;123;123;12;486;5,516778523489933;10,857142857142858;16,6;10,991307126877595
23;13;12;12;486;6,590604026845638;11,272727272727273;15,11111111111111;10,99148080356134
13;12;23;13;487;5,703947368421052;11,772727272727273;15,5;10,992224880382773
13;2;123;123;487;6,810457516339869;12,590909090909092;13,6;11,000455535749653
12;13;123;123;485;5,23489932885906;8,576923076923077;19,2;11,00394080192738
1;12;123;123;486;5,9072847682119205;11,608695652173912;15,5;11,005326806795276
12;1;13;123;486;5,1210191082802545;10,5;17,4;11,007006369426753
12;23;12;123;486;5,58;11,85;15,6;11,01
12;12;123;23;486;5,8108108108108105;10,52;16,714285714285715;11,015032175032175
123;13;13;2;485;7,165517241379311;12,25925925925926;13,625;11,016592166879525
2;1;123;123;487;7,051282051282051;9,833333333333334;16,166666666666668;11,017094017094019
123;13;1;2;487;6,27027027027027;12,615384615384615;14,166666666666666;11,017440517440518
13;23;12;13;485;6,25503355704698;11,464285714285714;15,333333333333334;11,01755086822201
12;123;123;123;485;6,4391891891891895;11,76;14,857142857142858;11,018777348777348
123;13;12;2;485;6,352112676056338;12,833333333333334;13,875;11,020148669796557
23;12;123;12;485;6,156462585034014;11,655172413793103;15,25;11,020544999609038
